First Name,Last Name,ID
kyrie,irving,1
derrick,williams,2
tristan,thompson,2
brandon,knight,1
kemba,walker,1
jimmer,fredette,1
klay,thompson,1
alec,burks,1
markieff,morris,1
marcus,morris,1
kawhi,leonard,1
nikola,vucevic,1
iman,shumpert,1
chris,singleton,1
tobias,harris,1
nolan,smith,1
kenneth,faried,1
reggie,jackson,1
marshon,brooks,1
jordan,hamilton,1
jajuan,johnson,1
norris,cole,1
cory,joseph,1
jimmy,butler,1
justin,harper,1
kyle,singler,1
shelvin,mack,1
tyler,honeycutt,1
jordan,williams,1
trey,thompkins,1
chandler,parsons,1
jon,leuer,1
darius,morris,1
malcolm,lee,1
charles,jenkins,1
josh,harrellson,1
andrew,goudelock,1
travis,leslie,1
keith,benson,1
josh,selby,1
lavoy,allen,1
jon,diebler,1
deandre,liggins,1
etwaun,moore,1
isaiah,thomas,1
anthony,davis,5
michael,kidd-gilchrist,1
bradley,beal,1
dion,waiters,1
thomas,robinson,2
damian,lillard,1
harrison,barnes,1
terrence,ross,1
andre,drummond,1
austin,rivers,1
meyers,leonard,1
jeremy,lamb,1
kendall,marshall,1
john,henson,1
maurice,harkless,1
royce,white,1
tyler,zeller,1
terrence,jones,1
andrew,nicholson,1
jared,sullinger,1
fab,melo,1
jared,cunningham,2
tony,wroten,1
miles,plumlee,1
arnett,moultrie,1
perry,jones,1
marquis,teague,1
festus,ezeli,1
jeffery,taylor,1
bernard,james-,1
jae,crowder,1
draymond,green,1
orlando,johnson,1
quincy,acy,1
quincy,miller,1
khris,middleton,1
will,barton,1
tyshawn,taylor,1
doron,lamb,1
mike,scott,4
kim,english,1
justin,hamilton,2
darius,miller,1
kevin,murphy,1
kyle,oquinn,1
kris,joseph,1
darius,johnson-odom,1
robbie,hummel,1
marcus,denmon,1
robert,sacre,1
anthony,bennett,1
victor,oladipo,1
otto,porter,1
cody,zeller,1
alex,len,1
nerlens,noel,1
ben,mclemore,1
kentavious,caldwell-pope,1
trey,burke,1
cj,mccollum,1
michael,carter-williams,1
steven,adams,1
kelly,olynyk,1
shabazz,muhammad,1
shane,larkin,1
tony,snell,1
gorgui,dieng,1
mason,plumlee,1
solomon,hill,1
tim,hardaway-jr,1
reggie,bullock,2
andre,roberson,1
archie,goodwin,1
allen,crabbe,1
carrick,felix,1
isaiah,canaan,1
glen,rice-jr,1
ray,mccallum,2
tony,mitchell,3
nate,wolters,1
jeff,withey,1
grant,jerrett,1
jamaal,franklin,1
pierre,jackson,1
mike,muscala,1
erick,green,1
ryan,kelly,3
erik,murphy,1
james,ennis,1
lorenzo,brown,1
colton,iverson,1
arsalan,kazemi,1
peyton,siva,1
alex,oriakhi,1
deshaun,thomas,1
andrew,wiggins,1
jabari,parker,1
joel,embiid,1
aaron,gordon,1
noah,vonleh,1
marcus,smart,1
julius,randle,1
nik,stauskas,1
elfrid,payton,1
doug,mcdermott,1
zach,lavine,1
tj,warren,1
adreian,payne,1
james,young,1
tyler,ennis,1
gary,harris,1
mitch,mcgary,1
jordan,adams,1
rodney,hood,1
shabazz,napier,1
cj,wilcox,1
josh,huestis,1
kyle,anderson,3
kj,mcdaniels,1
joe,harris-,1
cleanthony,early,1
jarnell,stokes,1
johnny,obryant,1
deandre,daniels,1
spencer,dinwiddie,1
jerami,grant,1
glenn,robinson,2
nick,johnson,1
markel,brown,1
jordan,clarkson,1
russ,smith,1
lamar,patterson,1
cameron,bairstow,1
alec,brown,1
semaj,christon,1
roy-devyn,marble,1
jordan,mcrae,1
cory,jefferson,1
xavier,thames,1
karl-anthony,towns,1
dangelo,russell,1
jahlil,okafor,1
willie,cauley-stein,1
stanley,johnson,1
frank,kaminsky,1
justise,winslow,1
myles,turner,1
trey,lyles,1
devin,booker,1
cameron,payne,1
kelly,oubre,1
terry,rozier,1
rashad,vaughn,1
sam,dekker,1
jerian,grant,1
delon,wright,1
justin,anderson,1
bobby,portis,1
rondae,hollis-jefferson,1
tyus,jones,1
jarell,martin,1
larry,nance,2
rj,hunter,1
chris,mccullough,1
kevon,looney,1
montrezl,harrell,1
jordan,mickey,1
anthony,brown,5
darrun,hilliard,1
rakeem,christmas,1
richaun,holmes,1
josh,richardson,2
pat,connaughton,1
olivier,hanlan,1
joseph,young,1
andrew,harrison,1
norman,powell,1
dakari,johnson,1
aaron,white,3
tyler,harvey,1
cady,lalanne,1
branden,dawson,1
jp,tokoto,1
